PRODUCT,TAGS
SG3S-B,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Dual Zone, "
SK135-X,"BFA, All Bar Fridges, Commercial Fridges, Schmick, Upright Bar Frdiges,"
SG1L-NC,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Mini Bar,"
ENV1R-SS,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Mini Bar, "
HUS-SC23C,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Mini Bar, "
GSP3H-SS,"BFA, All Bar Fridges, Commercial Fridges, Dual Zone, Rhino,"
GSP2H-SS,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Dual Zone, "
BD425B,"BFA, All Bar Fridges, Commercial Fridges, Schmick, Upright Bar Frdiges,"
GSP1HL-SS,"BFA, All Bar Fridges, Commercial Fridges, Rhino, Mini Bar,"
 JC165B,"BFA, All Bar Fridges, Dual Zone, Schmick, Wine Fridges, "
JC165,"BFA, All Bar Fridges, Dual Zone, Schmick, Wine Fridges, "
JC190-SS,"BFA, All Bar Fridges, Schmick, Wine Fridges, "
JC95-Combo,"BFA, All Bar Fridges, Schmick, Dual Zone, Wine Fridges, "
 SS-P160FA,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick,"
SS-P160FA-FP,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, Branded,"
SS-P160FA-WEG-BD,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, Branded,"
SS-P160FA-FP-FL,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, Branded,"
SS-P160FA-GN,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, Branded, "
SS-P160FA-CD,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, Branded,"
SS-P160FA-VB,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, Branded,"
SS-P160FA-COR160,"BFA, All Bar Fridges, Upright Bar Fridges, Branded,"
SS-P160FA-GNBC160-ORIG,"BFA, All Bar Fridges, Upright Bar Fridges, Branded,"
SS-P160FA-GNBC160-CRISP,"BFA, All Bar Fridges, Upright Bar Fridges, Branded,"
SS-P160FA-VB160VB,"BFA, All Bar Fridges, Upright Bar Fridges, Branded,"
SS-P160FA-CDT,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, Branded,"
SK135-FP-GF,"BFA, All Bar Fridges, Upright Bar Fridges, Branded, Schmick,"
SS-P160FA-TB,"BFA, All Bar Fridges, Upright Bar Fridges, Branded, Schmick,"
SS-P160FA-PB,"BFA, All Bar Fridges, Upright Bar Fridges, Branded, Schmick,"
BD425W,"BFA, All Bar Fridges, Upright Bar Fridges, Wine Fridges, Schmick,"
SK168D,"BFA, All Bar Fridges, Upright Bar Fridges, Dual Zone, Wine Firdges,"
SK168W,"BFA, All Bar Fridges, Upright, Wine Fridges, Schmick,"
SS-P160FA-PC,"BFA, All Bar Fridges, Upright Bar Fridges, Branded, Schmick,"
SG1R-BQ,"BFA, All Bar Fridges, Rhino, Wine Fridges, Mini Bar, "
SG1Q-COMBO,"BFA, All Bar Fridges, Rhino, Wine Fridges, "
JC95W,"BFA, All Bar Fridges, Wine Fridges, Schmick, "
JC95-Combo-B,"BFA, All Bar Fridges, Wine Fridges, Schmick, Dual Zone,"
JC95W-B,"BFA, All Bar Fridges, Wine Fridges, Schmick, "
 JC190-GG,"BFA, All Bar Fridges, Schmick, Wine Fridges, "
 JC132W,"BFA, All Bar Fridges, Wine Fridges, Schmick, "
 JC132-Combo,"BFA, All Bar Fridges, Wine Frdiges, Schmick, "
JC132W-B,"BFA, All Bar Fridges, Schmick, Wine Fridges, "
GSP1H-840-BW,"BFA, All Bar Fridges, Rhino, Wine Fridges, "
 JC165,"BFA, All Bar Fridges, Dual Zone, Schmick, Wine Fridges, "
 SK168W,"BFA, All Bar Fridges, Wine Fridges, Schmick, "
JC132B,"BFA, All Bar Fridges, Schmick, Mini Bar, "
 JC132B-B,"BFA, All Bar Fridges, Schmick, Mini Bar, "
SK168-Combo3,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, Wine Fridges, "
BD425RB,"BFA, All Bar Fridges,Schmick, Upright Bar Fridges, "
 SG1-COMBO,"BFA, All Bar Fridges, Commercial Bar Fridges, Rhino, "
 JC95B-B,"BFA, All Bar Fridges, Schmick, Wine Fridges, Mini Bar, "
SK168B,"BFA, All Bar Fridges, Upright Bar Fridges, Schmick, "
SK55-SS,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-BC46B-PU,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-RND70B,"BFA, All Bar Fridges, Schmick, Mini Bar, "
DW100CD,"BFA, All Bar Fridges, DellCool, Mini Bar, "
 DW-SC25,"BFA, All Bar Fridges, DellCool, Mini Bar, "
 SK40-SD,"BFA, All Bar Fridges, Schmick, Mini Bar, "
 SK40-B,"BFA, All Bar Fridges, Schmick, Mini Bar, "
EC68-SSH,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-SC50W,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-SC70-B,"BFA, All Bar Fridges, Schmick, Mini Bar, "
SK55-SD,"BFA, All Bar Fridges, Schmick, Mini Bar, "
 DW60T,"BFA, All Bar Fridges, DellWare, Mini Bar, "
HUS-BC46B2,"BFA, All Bar Fridges, Schmick, Mini Bar, "
 SK55-B,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-BC46B-RET,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
EC68L-SSH,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-BC46W-RET,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
SK-BR9C,"BFA, All Bar Fridges, Schmick, Mini Bar, "
HUS-BC46B-FOOTY,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
 HUS-BC46B-TRAVEL,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
 HUS-BC46B-SOCCER,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC46B-HSV,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC46B-BB,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
SK40-SS,"BFA, All Bar Fridges, Schmick, Mini Bar,"
DW40T,"BFA, All Bar Fridges, DellWare, Mini Bar, Branded,"
HUS-BC46B-ARCADE,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC70B-RET,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC46B-ACME,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
HUS-BC46B-TOXIC,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
 HUS-BC70B-NED,"BFA, All Bar Fridges, Schmick, Mini Bar, Branded,"
 SD36,"BFA, All Bar Fridges, Schmick, Mini Bar, "
